,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Port_name
0,0,3,male,22.0,1,0,7.25, Southampton
1,1,3,female,26.0,0,0,7.925, Southampton
2,1,1,female,35.0,1,0,53.1, Southampton
3,0,3,male,35.0,0,0,8.05, Southampton
4,0,1,male,54.0,0,0,51.8625, Southampton
5,0,3,male,2.0,3,1,21.075, Southampton
6,1,3,female,27.0,0,2,11.1333, Southampton
7,1,3,female,4.0,1,1,16.7, Southampton
8,1,1,female,58.0,0,0,26.55, Southampton
9,0,3,male,20.0,0,0,8.05, Southampton
10,0,3,male,39.0,1,5,31.275, Southampton
11,0,3,female,14.0,0,0,7.8542, Southampton
12,1,2,female,55.0,0,0,16.0, Southampton
13,1,2,male,29.0,0,0,13.0, Southampton
14,0,3,female,31.0,1,0,18.0, Southampton
15,0,2,male,35.0,0,0,26.0, Southampton
16,1,2,male,34.0,0,0,13.0, Southampton
17,1,1,male,28.0,0,0,35.5, Southampton
18,0,3,female,8.0,3,1,21.075, Southampton
19,1,3,female,38.0,1,5,31.3875, Southampton
20,0,1,male,19.0,3,2,263.0, Southampton
21,0,3,male,29.0,0,0,7.8958, Southampton
22,0,2,male,66.0,0,0,10.5, Southampton
23,0,1,male,42.0,1,0,52.0, Southampton
24,0,3,male,21.0,0,0,8.05, Southampton
25,0,3,female,18.0,2,0,18.0, Southampton
26,0,3,female,40.0,1,0,9.475, Southampton
27,0,2,female,27.0,1,0,21.0, Southampton
28,0,3,male,29.0,0,0,8.05, Southampton
29,0,3,female,18.0,1,0,17.8, Southampton
30,0,3,male,7.0,4,1,39.6875, Southampton
31,0,3,male,21.0,0,0,7.8, Southampton
32,1,2,female,29.0,1,0,26.0, Southampton
33,1,1,male,29.0,0,0,35.5, Southampton
34,1,2,female,21.0,0,0,10.5, Southampton
35,1,2,female,5.0,1,2,27.75, Southampton
36,0,3,male,11.0,5,2,46.9, Southampton
37,0,1,male,45.0,1,0,83.475, Southampton
38,0,3,male,4.0,3,2,27.9, Southampton
39,1,2,female,29.0,0,0,10.5, Southampton
40,0,3,male,19.0,0,0,8.1583, Southampton
41,1,3,female,17.0,4,2,7.925, Southampton
42,0,3,male,26.0,2,0,8.6625, Southampton
43,0,2,male,32.0,0,0,10.5, Southampton
44,0,3,female,16.0,5,2,46.9, Southampton
45,0,2,male,21.0,0,0,73.5, Southampton
46,1,3,male,32.0,0,0,56.4958, Southampton
47,0,3,male,25.0,0,0,7.65, Southampton
48,0,3,male,29.0,0,0,7.8958, Southampton
49,0,3,male,29.0,0,0,8.05, Southampton
50,1,2,male,0.83,0,2,29.0, Southampton
51,1,3,female,30.0,0,0,12.475, Southampton
52,0,3,male,22.0,0,0,9.0, Southampton
53,1,3,male,29.0,0,0,9.5, Southampton
54,0,1,male,28.0,0,0,47.1, Southampton
55,1,2,female,17.0,0,0,10.5, Southampton
56,1,3,female,33.0,3,0,15.85, Southampton
57,0,3,male,16.0,1,3,34.375, Southampton
58,0,3,male,29.0,0,0,8.05, Southampton
59,1,1,female,23.0,3,2,263.0, Southampton
60,0,3,male,24.0,0,0,8.05, Southampton
61,0,3,male,29.0,0,0,8.05, Southampton
62,0,3,male,20.0,0,0,7.8542, Southampton
63,0,1,male,46.0,1,0,61.175, Southampton
64,0,3,male,26.0,1,2,20.575, Southampton
65,0,3,male,59.0,0,0,7.25, Southampton
66,0,3,male,29.0,0,0,8.05, Southampton
67,1,2,female,34.0,0,1,23.0, Southampton
68,0,2,male,34.0,1,0,26.0, Southampton
69,0,3,female,28.0,0,0,7.8958, Southampton
70,0,3,male,29.0,0,0,7.8958, Southampton
71,0,1,male,21.0,0,1,77.2875, Southampton
72,0,3,male,33.0,0,0,8.6542, Southampton
73,0,3,male,37.0,2,0,7.925, Southampton
74,0,3,male,28.0,0,0,7.8958, Southampton
75,1,3,female,21.0,0,0,7.65, Southampton
76,1,3,male,29.0,0,0,7.775, Southampton
77,0,3,male,38.0,0,0,7.8958, Southampton
78,0,1,male,47.0,0,0,52.0, Southampton
79,0,3,male,22.0,0,0,8.05, Southampton
80,0,3,female,20.0,1,0,9.825, Southampton
81,0,3,male,21.0,0,0,7.925, Southampton
82,0,2,male,29.0,1,0,21.0, Southampton
83,0,3,female,2.0,4,2,31.275, Southampton
84,0,2,male,21.0,2,0,73.5, Southampton
85,0,3,male,29.0,0,0,8.05, Southampton
86,1,2,female,32.5,0,0,13.0, Southampton
87,0,1,male,54.0,0,1,77.2875, Southampton
88,1,3,male,24.0,0,0,7.1417, Southampton
89,0,3,male,45.0,0,0,6.975, Southampton
90,0,3,male,20.0,0,0,7.05, Southampton
91,0,3,female,47.0,1,0,14.5, Southampton
92,1,2,female,29.0,1,0,26.0, Southampton
93,0,2,male,25.0,0,0,13.0, Southampton
94,1,1,female,19.0,0,2,26.2833, Southampton
95,0,1,male,37.0,1,0,53.1, Southampton
96,0,3,male,16.0,0,0,9.2167, Southampton
97,1,3,female,22.0,0,0,7.75, Southampton
98,1,3,female,24.0,1,0,15.85, Southampton
99,0,2,male,18.0,0,0,11.5, Southampton
100,0,2,male,19.0,1,1,36.75, Southampton
101,1,3,male,27.0,0,0,7.7958, Southampton
102,0,3,female,9.0,2,2,34.375, Southampton
103,0,2,male,36.5,0,2,26.0, Southampton
104,0,2,male,42.0,0,0,13.0, Southampton
105,0,2,male,51.0,0,0,12.525, Southampton
106,1,1,female,22.0,1,0,66.6, Southampton
107,0,3,male,55.5,0,0,8.05, Southampton
108,0,3,male,40.5,0,2,14.5, Southampton
109,0,3,male,29.0,0,0,7.3125, Southampton
110,0,3,male,30.0,0,0,8.05, Southampton
111,0,3,male,29.0,0,0,8.6625, Southampton
112,0,3,male,29.0,8,2,69.55, Southampton
113,0,3,male,44.0,0,1,16.1, Southampton
114,1,2,female,40.0,0,0,15.75, Southampton
115,0,3,male,26.0,0,0,7.775, Southampton
116,0,3,male,17.0,0,0,8.6625, Southampton
117,0,3,male,1.0,4,1,39.6875, Southampton
118,1,3,male,9.0,0,2,20.525, Southampton
119,1,1,female,29.0,0,1,55.0, Southampton
